State 0
State 3
State 1
State 2
State 2
State 1
State 0
State 1
State 2
State 1
State 3
State 1
State 0
State 3
State 2
State 0
State 3
State 0
State 2
State 1
State 0
State 1
State 2
State 0
State 3
State 3
State 2
State 0
State 2
State 0
State 0
State 2
State 1
State 1
State 0
State 3
State 3
State 2
State 2
State 3
State 0
State 2
State 3
State 1
State 2
State 3
State 1
State 1
State 0
State 3
State 3
State 1
State 2
State 0
State 1
State 1
State 1
State 3
State 3
State 1
State 2
State 3
State 3
State 1
State 0
State 2
State 2
State 2
State 1
State 0
State 3
State 2
State 0
State 1
State 0
State 2
State 2
State 3
State 3
State 1
State 2
State 0
State 1
State 2
State 3
State 1
State 2
State 0
State 0
State 2
State 3
State 1
State 0
State 2
State 2
State 3
State 1
State 2
State 2
State 2
State 0
State 1
State 2
State 0
State 2
State 0
State 0
State 1
State 3
State 0
State 2
State 0
State 3
State 3
State 2
State 0
State 1
State 3
State 2
State 3
State 0
State 0
State 0
State 0
State 2
State 0
State 2
State 3
State 1
State 0
State 2
State 3
State 0
State 1
State 0
State 0
State 0
State 0
State 1
State 0
State 0
State 1
State 2
State 2
State 0
State 3
State 1
State 0
State 3
State 2
State 3
State 3
State 2
State 3
State 3
State 1
State 2
State 1
State 1
State 2
State 0
State 2
State 1
State 0
State 3
State 2
State 1
State 2
State 0
State 1
State 1
State 1
State 0
State 2
State 0
State 3
State 3
State 0
State 2
State 1
State 1
State 2
State 3
State 0
State 3
State 0
State 1
State 1
State 2
State 0
State 2
State 0
State 3
State 1
State 1
State 2
State 2
State 3
State 1
State 3
State 3
State 1
State 0
State 2
State 1
State 3
State 2
State 3
State 0
State 3
State 0
State 0
State 2
State 2
State 3
State 2
State 2
State 1
State 1
State 3
State 2
State 1
State 1
State 3
State 2
State 3
State 0
State 2
State 3
State 3
